bullet,bullet
menggangu,ganggu
maksimal,maksimal
kerna,karena
joystick,joystick
macetga,macet
responsifjaringan,responsif
kdng,kadang
bngtsering,banget
gratisitu,gratis
sngt,sangat
musuhuntuk,musuh
akal,akal
semuanyasaat,semua
anehhh,aneh
seolaholah,olah
dasar,dasar
google,google
store,store
liu,liu
dyaqia,dyaqia
bunder,bunder
problem,problem
bg,bg
bener²,bener
nabrak,tabrak
roll,roll
baf,baf
menit²,menit
tegur,tegur
sperti,seperti
coba²,coba
seharus,harus
begadang,begadang
pagi,pagi
situ,situ
darksistem,darksistem
nyampe,sampai
ujung²,ujung
dg,dengan
ngembaliin,kembali
nyesek,nyesek
gtu,gitu
pantesan,pantas
tutup,tutup
durasi,durasi
perbanyak,banyak
bugg,bug
samsung,samsung
galaxy,galaxy
tulisanya,tulis
lohhhh,loh
berani,berani
hijrah,hijrah
menurutku,turut
pribadi,pribadi
and,dan
poles,poles
ketar,ketar
ketir,ketir
via,via
benah,benah
menginstall,install
uninstal,uninstall
besok,besok
bugggggg,bug
buggg,bug
ghost,ghost
touch,touch
tdak,tidak
tukar,tukar
lobby,lobi
email,gmail
ui,ui
teammate,tim
tiernya,tier
padalhan,padahal
ruang,ruang
ribet,ribet
anjir,anjir
belah,belah
clase,clash
andelin,andelin
linglung,linglung
patch,patch
memory,memori
dowload,download
bgst,bangsat
bat,bat
ngerti,ngerti
pemberitahuan,berita
counter,counter
anti,anti
regen,regen
deres,deras
timbang,timbang
menyatukan,satu
type,tipe
pejuang,juang
pikaboo,pikaboo
otomatis,otomatis
perang,perang
tempur,tempur
steal,steal
serba,serba
bulet²,bulet
periksa,periksa
bobot,bobot
sori,maaf
nyesel,nyesel
tensen,tensen
jaya,jaya
berhasil,hasil
ngulang,ulang
tuuuh,tuh
runtuh,runtuh
komen,komen
akurat,akurat
manusia,manusia
cuy,cuy
monster,monster
gamen,game
sebenernya,sebenarnya
nyaapa,apa
geme,geme
lengkap,lengkap
mnjadi,menjadi
kelola,kelola
duakali,dua
perkara,perkara
defise,device
redmi,redmi
terbang,terbang
gausah,gausah
nyindir,sindir
elitperbaikin,elite
